,COPOD_ROC,DeepSVDD_ROC,COPOD_PR,DeepSVDD_PR
0_3_110000110_110000110_healthy living tips,0.44540971053636774,0.4705919168814493,0.4641340716073688,0.4721232858493537
0_3_110011001_110011001_tech,0.650052882252165,0.5525891521129408,0.608574050422226,0.5508904944392112
0_3_111000100_111000100_travel,0.4380701561065197,0.46718183858789913,0.44120747745112177,0.47367083525135273
0_4_000000001_000000001_good news_weird news,0.6123887984510021,0.5043996701208362,0.6374434999066179,0.5200919246632731
0_4_000100000_000100000_latino voices,0.6341702560889655,0.5191025139008536,0.6053975091966455,0.5151937648720527
0_4_000101000_000101000_black voices_women,0.5682111120341965,0.5306908942729406,0.5582679957717888,0.5316472339696565
0_4_000101010_000101010_queer voices,0.46116574528870463,0.45686851208366985,0.47204847879843426,0.46557032170164797
0_4_010000000_010000000_fifty,0.3124407415728849,0.43608343382747417,0.3819304107144805,0.4421449967886223
0_4_010001000_010001000_college,0.5391576299574552,0.42841642623111154,0.5543177210227295,0.4516073003652738
0_4_010010001_010010001_business_crime,0.5334843645601576,0.5391305479569892,0.5552045205832671,0.5291739682256019
0_4_010011001_010011001_education,0.472153169240106,0.5100496403409467,0.46282022710037196,0.5186813489043062
0_4_010011011_010011011_money,0.47506320665625434,0.5635029070521635,0.4547327564585242,0.5549814131956192
0_4_011000010_011000010_weddings,0.42244845762746036,0.6288140973496841,0.4221592207494361,0.6212761266248361
0_4_011000110_011000110_home & living,0.5334764017489712,0.4362711387602881,0.49838186630742437,0.45476178089207536
0_4_100000010_100000010_impact,0.449363071597765,0.45650174127156323,0.45009769717082365,0.4630029441015861
0_4_100001000_100001000_environment,0.5180414697094594,0.5099475235108656,0.5318300027337941,0.5074920119005673
0_4_100011000_100011000_science,0.531054451347968,0.4838426930920287,0.5473650916775388,0.4937214614396221
0_4_101000100_101000100_food & drink,0.5784366898529885,0.46172192725030187,0.542074187802432,0.47406389145319144
0_4_101000101_101000101_arts & culture,0.547994959590651,0.5064426575748774,0.5328623658579488,0.5283977866501288
0_4_110000110_110000110_healthy living tips,0.4272989296320104,0.48046163552857246,0.45321242692513053,0.49946839786108277
0_4_110011001_110011001_tech,0.6485286490335266,0.5180841037892698,0.6128370718777316,0.507403157608827
0_4_111000100_111000100_travel,0.40801243750637683,0.45115205591266194,0.42276189231302647,0.4509354239754434
0_5_000100000_000100000_latino voices,0.7192411308638108,0.5877836948860521,0.6769979482070931,0.6297707003036235
0_5_000101000_000101000_black voices_women,0.6068935075734139,0.5196544870780377,0.5963485857079114,0.5254151928019741
0_5_000101010_000101010_queer voices,0.5296001860173746,0.498614178502656,0.5266291964887079,0.5057034611687177
0_5_010001000_010001000_college,0.536121112279329,0.49906933101863177,0.5357670655321594,0.4958370398995795
0_5_010011001_010011001_education,0.5007342957957432,0.4906097670094029,0.4915047800790764,0.4953437732319728
0_5_010011011_010011011_money,0.5093394401751755,0.4381095275034895,0.4786235728425947,0.45740352717061306
0_5_011000110_011000110_home & living,0.5098058127572017,0.5600980045438957,0.4822207730838753,0.5323516277271116
0_5_100011000_100011000_science,0.7793203280593847,0.37270160339106484,0.7594277245759797,0.42756548972608177
0_5_101000100_101000100_food & drink,0.5197317554134204,0.555926265788136,0.49358703983823526,0.5585423253378801
0_5_101000101_101000101_arts & culture,0.6160757541045805,0.46064232908882824,0.57193314145145,0.48493125841021795
0_5_110011001_110011001_tech,0.6259046005074527,0.4655966048735705,0.5876663392561825,0.48063338292299296
1_2_000000000_000000001_media_religion_good news_weird news,0.537491739388976,0.5596655073729836,0.5613833475900765,0.5477259565089345
1_2_000000000_000100000_media_religion_latino voices,0.5240209960253687,0.49582680779308147,0.5340301025713958,0.5003543464214419
1_2_000000000_010000000_media_religion_fifty,0.4502645714775638,0.4672829704936027,0.4887746086441633,0.47216733832258656
1_2_000000100_001000100_entertainment_comedy_style,0.5251517217172882,0.5047400828551689,0.5307255089311345,0.5108279529547499
1_2_000101000_000100000_black voices_women_latino voices,0.5250736722509163,0.4824200154910222,0.5162426425480523,0.4844204659537471
1_2_000101010_000101000_queer voices_black voices_women,0.4877190670308487,0.5042594598539388,0.48844972391780694,0.5031922937148533
1_2_010000000_010001000_fifty_college,0.3256294363538816,0.5418483022684025,0.3953349115779232,0.5257384789264035
1_2_010000010_011000010_wellness_parenting_divorce_weddings,0.4024883435680013,0.48779405805339493,0.41671289617169716,0.4893976737420404
1_2_010010001_010011001_business_crime_education,0.5069076949696311,0.5021863293613158,0.5222811910107028,0.5020355034289345
1_2_010011011_010011001_money_education,0.4422963286371515,0.45677279776877056,0.4386399230580338,0.4650605693294525
1_2_011000110_011000010_home & living_weddings,0.479841401265078,0.5554971139976702,0.4610482620531559,0.5439507975414879
1_2_100000001_000000001_world news_u.s. news_good news_weird news,0.7051504533868576,0.5852217517364658,0.7137184242061239,0.5783564275659683
1_2_100011000_100001000_science_environment,0.5028373594335693,0.48440987723214285,0.5176581132510409,0.49418092138808606
1_2_101000100_001000100_food & drink_style,0.5228936503867654,0.4826937013917253,0.5045989199998612,0.47875991251775224
