,Dataset_name,Anomaly_classes,Training_sample_size,Test_sample_size,Test_balance_size,Test_length_dev,Anomaly_All_ratio_dev,Test_size_balance_dev,Test_All_ratio_dev,Test_Train_ratio_dev,Anomaly_test_ratio_dev,Amount_of_classes
867,868_black voices_environment_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'education' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'media'
 'queer voices' 'home & living' 'women' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",6054,62859 (95.9%),2595 N,62859,0.8744939271255061,2595,0.9121501023029036,10.383052527254709,0.9587171288121032,32
868,869_black voices_fifty,"['black voices', 'fifty']",142480,62859 (2.9%),1796 A,62859,0.008746511865743965,1796,0.3061230453055679,0.4411777091521617,0.028571883103453762,2
869,870_black voices_fifty_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'environment'
 'education' 'crime' 'science' 'wellness' 'business' 'style'
 'food & drink' 'media' 'queer voices' 'home & living' 'women' 'travel'
 'money' 'religion' 'latino voices' 'impact' 'weddings' 'college'
 'healthy living tips' 'good news' 'divorce']",4188,62859 (97.1%),1796 N,62859,0.9107491759511984,1796,0.9375363550941876,15.009312320916905,0.9714281168965463,32
870,871_black voices_good news,"['black voices', 'good news']",142482,62859 (2.9%),1795 A,62859,0.008741556727589717,1795,0.3061200636989203,0.44117151640207186,0.028555974482572105,2
871,872_black voices_good news_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'environment'
 'education' 'crime' 'science' 'wellness' 'business' 'style'
 'food & drink' 'media' 'queer voices' 'home & living' 'women' 'travel'
 'money' 'religion' 'latino voices' 'impact' 'weddings' 'college'
 'healthy living tips' 'fifty' 'divorce']",4186,62859 (97.1%),1795 N,62859,0.91079125960176,1795,0.9375643224699829,15.016483516483516,0.9714440255174279,32
872,873_black voices_u.s. news,"['black voices', 'u.s. news']",142496,62859 (2.8%),1788 A,62859,0.00870687346302744,1788,0.3060991940785469,0.4411281720188637,0.028444614136400516,2
873,874_black voices_u.s. news_INVERT,"['comedy' 'parenting' 'world news' 'arts & culture' 'tech' 'sports'
 'entertainment' 'politics' 'weird news' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'media'
 'queer voices' 'home & living' 'women' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",4172,62859 (97.2%),1788 N,62859,0.9110859154719458,1788,0.9377601408303621,15.066874400767018,0.9715553858635995,32
874,875_black voices_arts & culture,"['black voices', 'arts & culture']",140715,62859 (4.1%),2552 A,62859,0.012535982001630856,2552,0.3087771522886027,0.446711438013005,0.04059880048998552,2
875,876_black voices_arts & culture_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'tech' 'sports'
 'entertainment' 'politics' 'weird news' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'media'
 'queer voices' 'home & living' 'women' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",5953,62859 (95.9%),2552 N,62859,0.8764023716793583,2552,0.9134889263500552,10.559213841760457,0.9594011995100145,32
876,877_black voices_college,"['black voices', 'college']",142660,62859 (2.7%),1719 A,62859,0.00836419017219819,1719,0.30585493312053874,0.44062105705874105,0.027346919295566267,2
877,878_black voices_college_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'environment'
 'education' 'crime' 'science' 'wellness' 'business' 'style'
 'food & drink' 'media' 'queer voices' 'home & living' 'women' 'travel'
 'money' 'religion' 'latino voices' 'impact' 'weddings'
 'healthy living tips' 'good news' 'fifty' 'divorce']",4008,62859 (97.3%),1719 N,62859,0.9143523711247701,1719,0.9400601193413791,15.683383233532934,0.9726530807044337,32
878,879_black voices_latino voices,"['black voices', 'latino voices']",142669,62859 (2.7%),1714 A,62859,0.008339496321669066,1714,0.3058415398388541,0.44059326132516524,0.027267376191157988,2
879,880_black voices_latino voices_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'environment'
 'education' 'crime' 'science' 'wellness' 'business' 'style'
 'food & drink' 'media' 'queer voices' 'home & living' 'women' 'travel'
 'money' 'religion' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",3999,62859 (97.3%),1714 N,62859,0.9145502408088785,1714,0.9401866642735349,15.71867966991748,0.972732623808842,32
880,881_black voices_education,"['black voices', 'education']",142751,62859 (2.7%),1680 A,62859,0.008170808812800934,1680,0.3057195661689607,0.440340172748352,0.026726483081181692,2
881,882_black voices_education_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'environment' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'media'
 'queer voices' 'home & living' 'women' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",3917,62859 (97.3%),1680 N,62859,0.9161824607643465,1680,0.9413412004312927,16.04774061781976,0.9732735169188184,32
882,883_black voices_ENVIRONMENT,"['healthy living tips', 'tech', 'u.s. news', 'arts & culture', 'travel', 'world news', 'environment', 'black voices', 'science', 'food & drink', 'impact']",107249,62859 (26.9%),16895 A,62859,0.09931925600206927,16895,0.36952406706327745,0.5861033669311602,0.26877614979557424,11
883,884_black voices_ENVIRONMENT_INVERT,"['comedy' 'parenting' 'sports' 'entertainment' 'politics' 'weird news'
 'education' 'crime' 'wellness' 'business' 'style' 'media' 'queer voices'
 'home & living' 'women' 'money' 'religion' 'latino voices' 'weddings'
 'college' 'good news' 'fifty' 'divorce']",39419,62859 (73.1%),16895 N,62859,0.4494026085766245,16895,0.6145896478226012,1.5946371039346507,0.7312238502044258,23
884,885_black voices_ADULT INTERESTS,"['healthy living tips', 'tech', 'crime', 'money', 'wellness', 'home & living', 'divorce', 'parenting', 'education', 'sports', 'fifty', 'college', 'black voices', 'business', 'politics', 'weddings', 'travel']",62025,62859 (57.7%),26583 N,62859,0.29047756317862977,26583,0.5033390986835784,1.0134461910519952,0.5771011311029447,17
885,886_black voices_ADULT INTERESTS_INVERT,"['u.s. news' 'comedy' 'world news' 'arts & culture' 'entertainment'
 'weird news' 'environment' 'science' 'style' 'food & drink' 'media'
 'queer voices' 'women' 'religion' 'latino voices' 'impact' 'good news']",84643,62859 (42.3%),26583 A,62859,0.18022128513511682,26583,0.4261569334653089,0.7426367212882341,0.4228988688970553,17
886,887_black voices_AESTHETICS,"['arts & culture', 'style', 'home & living', 'black voices', 'weddings', 'food & drink', 'travel']",113851,62859 (22.4%),14065 A,62859,0.07959368456793617,14065,0.35571840869220755,0.5521163626142941,0.2237547527004884,7
887,888_black voices_AESTHETICS_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'tech' 'sports'
 'entertainment' 'politics' 'weird news' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'media' 'queer voices' 'women' 'money'
 'religion' 'latino voices' 'impact' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",32817,62859 (77.6%),14065 N,62859,0.5099920565241022,14065,0.6569986203436599,1.9154401682055033,0.7762452472995116,27
888,889_black voices_MINORITIES,"['black voices', 'latino voices', 'women', 'queer voices']",135726,62859 (7.5%),4690 A,62859,0.023617090918246594,4690,0.31653448145630336,0.4631316033773927,0.07461143193496556,4
889,890_black voices_MINORITIES_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'environment'
 'education' 'crime' 'science' 'wellness' 'business' 'style'
 'food & drink' 'media' 'home & living' 'travel' 'money' 'religion'
 'impact' 'weddings' 'college' 'healthy living tips' 'good news' 'fifty'
 'divorce']",10942,62859 (92.5%),4690 N,62859,0.7881871519356106,4690,0.8517364263356865,5.744745019192104,0.9253885680650344,30
890,891_black voices_SCIENTIFIC,"['crime', 'money', 'education', 'black voices', 'business', 'science', 'tech']",131817,62859 (10.1%),6366 A,62859,0.03270048696295383,6366,0.3228903408740677,0.4768656546575935,0.10127428053262062,7
