,ROC,,,PR,
,COPOD,DeepSVDD,,COPOD,DeepSVDD
medium_4_101000100_100011000_food & drink_science,0.52,0.44,,0.51,0.45
medium_4_110000110_000000000_healthy living tips_media_religion,0.52,0.50,,0.50,0.50
medium_4_110000110_001000100_healthy living tips_style,0.42,0.49,,0.44,0.49
medium_4_110000110_010001000_healthy living tips_college,0.52,0.50,,0.50,0.50
medium_4_110000110_100000001_healthy living tips_world news_u.s. news,0.65,0.53,,0.64,0.53
medium_4_110000110_100001000_healthy living tips_environment,0.54,0.54,,0.52,0.53
medium_4_110000110_101000101_healthy living tips_arts & culture,0.50,0.50,,0.49,0.50
medium_4_110011001_010000000_tech_fifty,0.52,0.53,,0.50,0.52
medium_4_111000100_000000000_travel_media_religion,0.50,0.49,,0.49,0.49
medium_4_111000100_010001000_travel_college,0.51,0.58,,0.49,0.57
medium_4_111000100_100000001_travel_world news_u.s. news,0.63,0.48,,0.63,0.48
medium_4_111000100_100000010_travel_impact,0.50,0.46,,0.49,0.46
medium_4_111000100_100001000_travel_environment,0.53,0.48,,0.51,0.48
